Average Returns,Iteration
-1091.1176999012564,0
-1162.1493360627258,5
-1585.8347053987275,10
-1218.8241165219229,15
-1249.7989512873348,20
-1389.2664479944547,25
-1298.771278433243,30
-1683.4040480165327,35
-1507.2040631908412,40
-1422.1633591071438,45
-1505.8400605781235,50
-1531.366199951518,55
-1859.374352334298,60
-1481.806252109952,65
-1226.7502585204463,70
-1268.0980292418817,75
-1446.588749786304,80
-1234.6143376530424,85
-1173.3418445679686,90
-1452.18655778993,95
-1347.0481453039677,100
-1489.2808735833657,105
-1191.7517135659734,110
-1475.9642971133658,115
-1501.2822528696033,120
-1905.84236700956,125
-1442.219550827407,130
-1195.037295457711,135
-1337.1308600611028,140
-1193.1598828731228,145
